,type,U-nodes,length
875,network,0,1.166
876,network,1,1.601
877,network,0,0.432
878,network,0,0.405
879,network,0,0.405
880,network,0,0.199
881,network,0,1.274
882,network,0,0.299
883,network,0,0.462
884,network,1,0.19
885,network,0,4.3
886,network,0,0.573
887,network,1,1.067
888,network,0,1.12
889,network,0,2.857
890,network,1,1.915
891,network,0,0.412
892,network,0,0.385
893,network,0,0.976
894,network,0,1.301
895,network,0,0.716
896,network,0,0.339
897,network,0,1.021
898,network,0,0.156
899,network,0,0.546
900,network,0,0.4
901,network,0,0.392
902,network,0,1.265
903,network,0,0.662
904,network,0,1.078
905,network,0,0.733
906,network,0,1.655
907,network,0,1.5
908,network,1,0.938
909,network,0,0.783
910,network,1,1.624
911,network,0,1.654
912,network,0,1.401
913,network,0,1.002
914,network,0,0.622
915,network,0,0.254
916,network,1,0.856
917,network,0,0.769
918,network,0,1.861
919,network,0,1.218
920,network,0,1.44
921,network,0,0.183
922,network,0,0.901
923,network,0,0.383
924,network,0,0.097
925,network,0,1.218
926,network,0,1.218
927,network,0,0.622
928,network,0,0.253
929,network,0,0.565
930,network,0,0.51
931,network,0,0.74
932,network,0,1.809
933,network,1,0.56
934,network,0,0.422
935,network,1,2.143
936,network,0,0.482
937,network,0,0.113
938,network,0,0.444
939,network,1,2.073
940,network,0,0.361
941,network,0,0.342
942,network,0,0.954
943,network,0,0.25
944,network,0,1.359
945,network,1,1.95
946,network,1,0.14
947,network,0,0.478
948,network,0,1.135
949,network,0,2.702
950,network,0,3.701
951,network,0,0.396
952,network,0,0.35
953,network,0,0.272
954,network,0,0.218
955,network,0,0.861
956,network,0,0.427
957,network,0,0.516
958,network,0,1.31
959,network,1,0.968
960,network,0,0.831
961,network,0,0.947
962,network,0,0.368
963,network,1,1.117
964,network,1,0.546
965,network,0,0.873
966,network,1,0.739
967,network,1,0.095
968,network,1,0.253
969,network,0,0.403
970,network,1,0.25
971,network,0,0.47
972,network,0,0.528
973,network,1,0.184
974,network,1,0.263
975,network,0,0.424
976,network,1,0.625
977,network,1,0.981
978,network,0,0.424
979,network,0,0.377
980,network,0,0.322
981,network,0,0.351
982,network,0,0.247
983,network,1,1.894
984,network,0,1.5
985,network,0,2.042
986,network,0,0.213
987,network,0,0.229
988,network,0,0.098
989,network,0,0.502
990,network,0,1.244
991,network,0,1.191
992,network,0,0.556
993,network,0,0.96
994,network,0,0.315
995,network,1,0.197
996,network,0,0.208
997,network,0,0.652
998,network,0,0.115
999,network,1,0.581
1000,network,0,4.1
1001,network,0,0.708
1002,network,0,1.277
1003,network,0,0.969
1004,network,0,0.969
1005,network,0,1.107
1006,network,0,0.444
1007,network,0,0.413
1008,network,0,1.326
1009,network,0,0.724
1010,network,0,0.711
1011,network,0,0.933
1012,network,0,1.749
1013,network,0,0.284
1014,network,0,0.906
1015,network,0,0.191
1016,network,0,0.093
1017,network,1,2.041
1018,network,0,0.289
1019,network,0,0.359
1020,network,0,0.558
1021,network,0,1.195
1022,network,0,0.593
1023,network,1,0.292
1024,network,0,0.593
1025,network,0,0.437
1026,network,0,1.538
1027,network,0,0.983
1028,network,0,0.418
1029,network,0,2.888
1030,network,0,3.931
1031,network,0,0.588
1032,network,0,1.092
1033,network,1,4.656
1034,network,1,1.013
