id,length,azimuth
,0.858,"107"
,0.407,"46"
,1.069,"87"
,0.981,"96"
,2.602,"86"
,0.418,"157"
,0.880,"29"
,0.264,"120"
,0.435,"72"
,0.737,"78"
,0.712,"58"
,0.228,"38"
,0.526,"57"
,0.951,"43"
,2.568,"115"
,0.794,"72"
,2.527,"86"
,2.139,"96"
,0.560,"148"
,0.577,"115"
,0.363,"66"
,0.778,"119"
,0.352,"113"
,0.419,"56"
,2.608,"99"
,4.483,"90"
,0.215,"118"
,2.292,"102"
,0.273,"45"
,0.480,"163"
,0.543,"89"
,1.865,"125"
,1.833,"94"
,1.362,"87"
,1.145,"87"
,2.688,"97"
,1.723,"94"
,0.271,"27"
,4.242,"90"
,2.549,"105"
,1.055,"96"
,0.444,"37"
,0.653,"108"
,1.108,"112"
,0.829,"113"
,1.146,"116"
,0.723,"142"
,2.325,"100"
,2.914,"76"
,2.577,"91"
,0.582,"102"
,0.894,"156"
,1.143,"162"
,1.471,"36"
,1.090,"82"
,0.770,"80"
,0.460,"60"
,0.378,"139"
,0.616,"72"
,1.102,"69"
,0.537,"53"
,1.333,"47"
,0.303,"83"
,0.221,"135"
,0.391,"54"
,0.323,"124"
,0.976,"51"
,0.326,"136"
,0.119,"58"
,0.323,"145"
,0.571,"38"
,0.586,"40"
,0.197,"37"
,0.852,"106"
,0.827,"103"
,1.033,"105"
,0.337,"49"
,0.591,"46"
,0.782,"36"
,0.977,"38"
,0.310,"37"
,0.906,"42"
,0.431,"42"
,0.470,"49"
,0.264,"148"
,0.184,"52"
,0.261,"52"
,0.621,"68"
,0.914,"120"
,0.233,"137"
,2.334,"119"
,0.254,"65"
,0.327,"68"
,1.809,"80"
,1.712,"90"
,0.557,"177"
,0.601,"42"
,0.198,"111"
,0.516,"100"
,0.349,"37"
,0.539,"74"
,0.919,"108"
,0.367,"113"
,0.800,"107"
,0.290,"0"
,0.185,"99"
,0.310,"110"
,0.517,"130"
,0.218,"49"
,1.241,"150"
,0.655,"163"
,0.489,"74"
,1.211,"149"
,2.340,"90"
,0.525,"113"
,1.396,"117"
,1.530,"76"
,0.946,"135"
,0.318,"126"
,1.994,"91"
,0.367,"44"
,0.329,"34"
,1.503,"90"
,1.436,"136"
,1.558,"106"
,3.274,"125"
,1.901,"105"
,1.159,"125"
,1.837,"98"
,14.487,"114"
,1.235,"142"
,0.737,"33"
,0.975,"92"
,3.397,"143"
,0.725,"130"
,2.144,"152"
,0.278,"63"
,0.226,"64"
,2.310,"108"
,0.970,"32"
,0.719,"57"
,2.072,"13"
,0.757,"110"
,0.359,"113"
,1.070,"115"
,0.304,"83"
,1.234,"88"
,0.753,"84"
,1.015,"57"
,0.890,"120"
,3.581,"100"
,1.625,"114"
,1.882,"101"
,0.833,"84"
,0.551,"103"
,3.917,"103"
,0.711,"112"
,1.809,"98"
,0.350,"82"
,1.431,"118"
,0.850,"114"
,1.188,"97"
,0.316,"121"
,4.032,"112"
,0.585,"118"
,0.418,"127"
,0.854,"125"
,1.657,"110"
,0.745,"79"
,3.579,"109"
,0.577,"111"
,1.935,"114"
,0.633,"112"
,1.368,"93"
,1.120,"99"
,0.609,"113"
,1.255,"94"
,0.647,"109"
,0.410,"90"
,1.313,"109"
,0.245,"11"
,0.213,"107"
,0.673,"85"
,0.883,"115"
,1.292,"108"
,2.987,"102"
,1.384,"102"
,0.563,"124"
,0.405,"111"
,0.563,"122"
,1.199,"94"
,0.725,"102"
,0.745,"110"
,0.349,"125"
,1.166,"113"
,1.601,"92"
,0.432,"83"
,0.405,"122"
,0.405,"98"
,0.199,"34"
,1.274,"137"
,0.299,"94"
,0.462,"38"
,0.190,"111"
,4.300,"88"
,0.573,"72"
,1.067,"107"
,1.120,"109"
,2.857,"102"
,1.915,"80"
,0.412,"116"
,0.385,"129"
,0.976,"100"
,1.301,"118"
,0.716,"132"
,0.339,"115"
,1.021,"125"
,0.156,"162"
,0.546,"85"
,0.400,"82"
,0.392,"62"
