geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-48.340684530918686 -19.337376795666056 0, -47.21446259895363 -17.906860534434365 0)",128,fracture,0,1,1.820646207720599,,-9999
"LINESTRING Z (-47.21446259895363 -17.906860534434365 0, -44.80911537371921 -14.851611633711373 0)",129,fracture,0,1,3.8884754235190924,,-9999
"LINESTRING Z (-44.80911537371921 -14.851611633711373 0, -41.26051022874767 -10.344207524012562 0)",130,fracture,0,1,5.7366619460317,,-9999
"LINESTRING Z (-41.26051022874767 -10.344207524012562 0, -39.821952802628886 -8.516965723466289 0)",131,fracture,0,1,2.3255666117970235,,-9999
"LINESTRING Z (-39.821952802628886 -8.516965723466289 0, -37.72849328685498 -5.857873590249236 0)",132,fracture,0,1,3.3842789065207293,,-9999
"LINESTRING Z (-37.72849328685498 -5.857873590249236 0, -37.709907461398764 -5.834266053591576 0, -37.5937118048667 -5.68667544872421 0)",133,fracture,0,1,0.21788724503416682,,-9999
"LINESTRING Z (-37.5937118048667 -5.68667544872421 0, -37.59086280466345 -5.683056676079735 0, -36.179786698632796 -3.890721383878229 0)",134,fracture,0,1,2.2857460946210453,,-9999
"LINESTRING Z (-36.179786698632796 -3.890721383878229 0, -33.59802645995672 -0.6113943709657025 0)",135,fracture,0,1,4.173664048246641,,-9999
"LINESTRING Z (-33.59802645995672 -0.6113943709657025 0, -33.48052530134952 -0.4621455299243293 0, -33.223520799769574 -0.1357008849702168 0)",136,fracture,0,1,0.6054244644303267,,-9999
"LINESTRING Z (-33.223520799769574 -0.1357008849702168 0, -32.188169738319004 1.1793920709130838 0)",137,fracture,0,1,1.6737446947072596,,-9999
"LINESTRING Z (-32.188169738319004 1.1793920709130838 0, -30.474264380344167 3.356378165045729 0)",138,fracture,0,1,2.7706930595325363,,-9999
"LINESTRING Z (-30.474264380344167 3.356378165045729 0, -29.805024383394972 4.206440369599012 0)",139,fracture,0,1,1.0818909025990304,,-9999
"LINESTRING Z (-29.805024383394972 4.206440369599012 0, -29.418218995481826 4.697756851401424 0)",140,fracture,0,1,0.6253081587580156,,-9999
"LINESTRING Z (-29.418218995481826 4.697756851401424 0, -27.2701880666123 7.42616506843463 0)",141,fracture,0,1,3.472498850993964,,-9999
"LINESTRING Z (-27.2701880666123 7.42616506843463 0, -27.233077107076898 7.47330305214684 0, -25.745845054583015 9.362370894757008 0)",142,fracture,0,1,2.464247272537242,,-9999
"LINESTRING Z (-25.745845054583015 9.362370894757008 0, -24.443492304146528 11.016606826842384 0, -24.4093280974611 11.060001873438852 0)",143,fracture,0,1,2.1606083672092673,,-9999
"LINESTRING Z (-24.4093280974611 11.060001873438852 0, -23.216548462287996 12.575059088852832 0)",144,fracture,0,1,1.9282431444352774,,-9999
"LINESTRING Z (-23.216548462287996 12.575059088852832 0, -22.386742602233813 13.629070507722709 0)",145,fracture,0,1,1.3414610827334323,,-9999
"LINESTRING Z (-22.386742602233813 13.629070507722709 0, -21.989682741720177 14.13341212195151 0)",146,fracture,0,1,0.6418855012181075,,-9999
"LINESTRING Z (-21.989682741720177 14.13341212195151 0, -20.795587071729784 15.65014095212724 0)",147,fracture,0,1,1.930370641451025,,-9999
"LINESTRING Z (-20.795587071729784 15.65014095212724 0, -17.69682931443097 19.586153238532734 0)",148,fracture,0,1,5.009440323744219,,-9999
"LINESTRING Z (-17.69682931443097 19.586153238532734 0, -15.803655707437095 21.990844137611607 0)",149,fracture,0,1,3.060497447528908,,-9999
"LINESTRING Z (-15.803655707437095 21.990844137611607 0, -13.012855302997112 25.535691957647884 0)",150,fracture,0,1,4.51159760668417,,-9999
"LINESTRING Z (-13.012855302997112 25.535691957647884 0, -11.798811280201187 27.077758993609844 0)",151,fracture,0,1,1.9626190747791625,,-9999
"LINESTRING Z (-11.798811280201187 27.077758993609844 0, -11.337383713132501 27.663859849344924 0)",152,fracture,0,1,0.745942097447462,,-9999
"LINESTRING Z (-11.337383713132501 27.663859849344924 0, -10.491881030441895 28.73780922128937 0)",153,fracture,0,1,1.3668365081226375,,-9999
