geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-10.109347534387645 16.20216929354119 0, -9.898776042342165 16.60869734798594 0)",131,fracture,1,1,0.4578,,,-9999
"LINESTRING Z (-9.898776042342165 16.60869734798594 0, -9.567746536173539 17.247780919077666 0, -9.566528719766445 17.2501320280993 0, -9.566500844845358 17.250185843254084 0)",132,fracture,0,1,0.7224,,,-9999
"LINESTRING Z (-9.566500844845358 17.250185843254084 0, -9.007308089186022 18.329760009773683 0)",133,fracture,0,1,1.2158,,,-9999
"LINESTRING Z (-9.007308089186022 18.329760009773683 0, -8.93094753559271 18.47718123468436 0)",134,fracture,0,1,0.166,,,-9999
"LINESTRING Z (-8.93094753559271 18.47718123468436 0, -8.79566395221087 18.738358906060004 0)",135,fracture,0,1,0.2941,,,-9999
"LINESTRING Z (-8.79566395221087 18.738358906060004 0, -8.7782015916706 18.77207163415767 0)",136,fracture,0,1,0.038,,,-9999
"LINESTRING Z (-8.7782015916706 18.77207163415767 0, -8.486700414120705 19.334842052064563 0)",137,fracture,0,1,0.6338,,,-9999
"LINESTRING Z (-8.486700414120705 19.334842052064563 0, -8.32229601304743 19.652240198704646 0)",138,fracture,0,1,0.3574,,,-9999
"LINESTRING Z (-8.32229601304743 19.652240198704646 0, -8.139865749927765 20.004438966056608 0)",139,fracture,1,1,0.3966,,,-9999
"LINESTRING Z (-22.806979193484487 -11.417817514432093 0, -22.656326941296797 -11.126969183612676 0)",140,fracture,1,1,0.3275,,,-9999
"LINESTRING Z (-22.656326941296797 -11.126969183612676 0, -22.316662068095237 -10.471214224930849 0)",141,fracture,0,1,0.7385,,,-9999
"LINESTRING Z (-22.316662068095237 -10.471214224930849 0, -22.063326089471307 -9.982125310232945 0)",142,fracture,0,1,0.5508,,,-9999
"LINESTRING Z (-22.063326089471307 -9.982125310232945 0, -22.054852940082778 -9.965767099050234 0, -21.637309382030196 -9.159660020394051 0)",143,fracture,0,1,0.9263,,,-9999
"LINESTRING Z (-21.637309382030196 -9.159660020394051 0, -21.33910884783998 -8.583955864902052 0)",144,fracture,0,1,0.6484,,,-9999
"LINESTRING Z (-21.33910884783998 -8.583955864902052 0, -21.166212395296814 -8.250163014834804 0)",145,fracture,1,1,0.3759,,,-9999
"LINESTRING Z (-20.675701253945157 -7.30318515928495 0, -20.25659096405949 -6.49405335758695 0)",146,fracture,1,1,0.9112,,,-9999
"LINESTRING Z (-20.25659096405949 -6.49405335758695 0, -19.52064685810471 -5.073244098614417 0)",147,fracture,1,1,1.6001,,,-9999
"LINESTRING Z (-19.17223422458374 -4.400600766540484 0, -18.85299617931174 -3.784281718845555 0)",148,fracture,1,1,0.6941,,,-9999
"LINESTRING Z (-18.85299617931174 -3.784281718845555 0, -18.655863016540884 -3.4036976219704265 0)",149,fracture,0,1,0.4286,,,-9999
"LINESTRING Z (-18.655863016540884 -3.4036976219704265 0, -18.5707944693555 -3.2394647970719563 0)",150,fracture,0,1,0.185,,,-9999
"LINESTRING Z (-18.5707944693555 -3.2394647970719563 0, -18.381647281066808 -2.874298374439164 0)",151,fracture,0,1,0.4112,,,-9999
"LINESTRING Z (-18.381647281066808 -2.874298374439164 0, -18.327949847233402 -2.770630432055702 0)",152,fracture,0,1,0.1167,,,-9999
"LINESTRING Z (-18.327949847233402 -2.770630432055702 0, -17.724213398419366 -1.6050604797815256 0)",153,fracture,0,1,1.3127,,,-9999
"LINESTRING Z (-17.724213398419366 -1.6050604797815256 0, -17.389945247768132 -0.9597244011553585 0)",154,fracture,0,1,0.7268,,,-9999
"LINESTRING Z (-17.389945247768132 -0.9597244011553585 0, -17.24443689127767 -0.6788068443915698 0)",155,fracture,1,1,0.3164,,,-9999
"LINESTRING Z (-16.882499219465856 0.0199478451565226 0, -16.582000841081953 0.6000882048108426 0)",156,fracture,1,1,0.6533,,,-9999
"LINESTRING Z (-16.582000841081953 0.6000882048108426 0, -16.57148125965877 0.6203972453556822 0, -16.483119278231914 0.7909883545671077 0)",157,fracture,0,1,0.215,,,-9999
"LINESTRING Z (-16.483119278231914 0.7909883545671077 0, -16.221739115756073 1.2956073221660358 0)",158,fracture,0,1,0.5683,,,-9999
"LINESTRING Z (-16.221739115756073 1.2956073221660358 0, -15.817958203647839 2.075144319443111 0)",159,fracture,0,1,0.8779,,,-9999
"LINESTRING Z (-15.817958203647839 2.075144319443111 0, -15.515414779997512 2.6592328311731652 0)",160,fracture,0,1,0.6578,,,-9999
"LINESTRING Z (-15.515414779997512 2.6592328311731652 0, -15.312845177870695 3.050312485129722 0)",161,fracture,0,1,0.4404,,,-9999
"LINESTRING Z (-15.312845177870695 3.050312485129722 0, -15.097282726826073 3.4664760549617903 0)",162,fracture,0,1,0.4687,,,-9999
"LINESTRING Z (-15.097282726826073 3.4664760549617903 0, -14.599640006013514 4.4272220948712535 0)",163,fracture,1,1,1.082,,,-9999
"LINESTRING Z (-14.48859295304533 4.641608866586905 0, -13.955999292239511 5.6698309807667 0)",164,fracture,1,1,1.158,,,-9999
"LINESTRING Z (-13.955999292239511 5.6698309807667 0, -13.748516875033603 6.070395285929118 0)",165,fracture,0,1,0.4511,,,-9999
"LINESTRING Z (-13.748516875033603 6.070395285929118 0, -13.568804027570751 6.417347826978788 0)",166,fracture,0,1,0.3907,,,-9999
"LINESTRING Z (-13.568804027570751 6.417347826978788 0, -13.256164785657337 7.020927264648781 0)",167,fracture,0,1,0.6797,,,-9999
"LINESTRING Z (-13.256164785657337 7.020927264648781 0, -12.937355845179832 7.636417885211604 0)",168,fracture,0,1,0.6932,,,-9999
"LINESTRING Z (-12.937355845179832 7.636417885211604 0, -12.803677813177337 7.894495888763196 0)",169,fracture,0,1,0.2906,,,-9999
"LINESTRING Z (-12.803677813177337 7.894495888763196 0, -12.249802962986871 8.963803339009955 0)",170,fracture,1,1,1.2042,,,-9999
"LINESTRING Z (-12.127507864154838 9.19990552033266 0, -11.884128822640097 9.669771632209981 0)",171,fracture,1,1,0.5292,,,-9999
"LINESTRING Z (-11.884128822640097 9.669771632209981 0, -11.705870404233185 10.013916261283077 0)",172,fracture,0,1,0.3876,,,-9999
"LINESTRING Z (-11.705870404233185 10.013916261283077 0, -11.383983941748738 10.635348327299129 0)",173,fracture,1,1,0.6998,,,-9999
"LINESTRING Z (-11.277570140301995 10.840790171529742 0, -11.046610902121733 11.286678685883736 0)",174,fracture,1,1,0.5022,,,-9999
"LINESTRING Z (-10.048497788853608 13.213629851547923 0, -9.992938576852085 13.320892131650796 0)",175,fracture,1,1,0.1208,,,-9999
"LINESTRING Z (-9.992938576852085 13.320892131650796 0, -9.795586666821624 13.701898540667976 0)",176,fracture,0,1,0.4291,,,-9999
"LINESTRING Z (-9.795586666821624 13.701898540667976 0, -9.682203338879937 13.92079571077802 0)",177,fracture,0,1,0.2465,,,-9999
"LINESTRING Z (-9.682203338879937 13.92079571077802 0, -9.206684796620673 14.838828944808153 0)",178,fracture,1,1,1.0339,,,-9999
"LINESTRING Z (-8.569521505325724 16.068932557873705 0, -8.523617154662404 16.157555220820306 0)",179,fracture,1,1,0.0998,,,-9999
"LINESTRING Z (-8.523617154662404 16.157555220820306 0, -7.844339242487878 17.468965067334377 0)",180,fracture,0,1,1.4769,,,-9999
"LINESTRING Z (-7.844339242487878 17.468965067334377 0, -7.179081238607799 18.753308163325524 0)",181,fracture,0,1,1.4464,,,-9999
"LINESTRING Z (-7.179081238607799 18.753308163325524 0, -7.007083109871152 19.085366714861763 0)",182,fracture,0,1,0.374,,,-9999
"LINESTRING Z (-7.007083109871152 19.085366714861763 0, -6.606076442126026 19.859547772678404 0)",183,fracture,1,1,0.8719,,,-9999
"LINESTRING Z (-22.430747512816254 -13.79748249174031 0, -22.312796051215873 -13.569766110298888 0)",184,fracture,1,1,0.2565,,,-9999
"LINESTRING Z (-22.312796051215873 -13.569766110298888 0, -22.195981104339516 -13.344243877339379 0)",185,fracture,0,1,0.254,,,-9999
"LINESTRING Z (-22.195981104339516 -13.344243877339379 0, -22.04819923313311 -13.058937086756497 0)",186,fracture,0,1,0.3213,,,-9999
"LINESTRING Z (-22.04819923313311 -13.058937086756497 0, -21.5028920401581 -12.006170303933965 0)",187,fracture,0,1,1.1856,,,-9999
"LINESTRING Z (-21.5028920401581 -12.006170303933965 0, -21.35105098228843 -11.71302687202412 0)",188,fracture,0,1,0.3301,,,-9999
"LINESTRING Z (-21.35105098228843 -11.71302687202412 0, -21.046308839741442 -11.124693526833239 0)",189,fracture,0,1,0.6626,,,-9999
"LINESTRING Z (-21.046308839741442 -11.124693526833239 0, -20.593818041793714 -10.251117517293865 0)",190,fracture,0,1,0.9838,,,-9999
"LINESTRING Z (-20.593818041793714 -10.251117517293865 0, -20.48188377616241 -10.035017898153741 0)",191,fracture,0,1,0.2434,,,-9999
"LINESTRING Z (-20.48188377616241 -10.035017898153741 0, -20.28681243873231 -9.658414348864806 0)",192,fracture,0,1,0.4241,,,-9999
