,ab,U-nodes,length
886,ab,1,7.495072996
887,ab,0,1.949956986
888,ab,0,1.939179549
889,ab,1,1.23767911
890,ab,0,1.976752122
891,ab,0,1.431396302
892,ab,0,1.744262049
893,ab,0,1.160814921
894,ab,0,1.790324646
895,ab,0,1.716509165
896,ab,0,1.086735351
897,ab,0,0.515946512
898,ab,0,2.191640378
899,ab,0,0.933820116
900,ab,0,1.496795637
901,ab,0,0.24643875
902,ab,0,0.666752894
903,ab,0,0.384156117
904,ab,0,2.047374388
905,ab,0,0.772692091
906,ab,0,1.098431746
907,ab,1,11.86095738
908,ab,0,0.570760481
909,ab,0,0.934323498
910,ab,0,1.652532077
911,ab,0,0.636389382
912,ab,1,3.146269041
913,ab,0,0.442169185
914,ab,0,0.56530034
915,ab,0,1.035980531
916,ab,0,0.216221087
917,ab,0,1.673333785
918,ab,0,0.491007678
919,ab,0,1.582203013
920,ab,0,1.471016148
921,ab,0,1.195274884
922,ab,0,0.435133651
923,ab,0,0.481589106
924,ab,0,0.488114807
925,ab,0,1.188178519
926,ab,0,0.523043852
927,ab,0,0.484019909
928,ab,0,1.033359676
929,ab,0,0.559266343
930,ab,0,0.657281002
931,ab,0,0.735420969
932,ab,0,1.469383941
933,ab,0,1.348574416
934,ab,0,0.903148396
935,ab,1,0.417141131
936,ab,0,1.363181373
937,ab,0,1.369686592
938,ab,0,0.537638556
939,ab,0,1.811099407
940,ab,0,2.164654379
941,ab,0,1.485177162
942,ab,0,0.332775303
943,ab,1,2.514253012
944,ab,1,0.340398342
945,ab,0,2.043130561
946,ab,0,1.855372519
947,ab,1,1.125315261
948,ab,1,0.751805788
949,ab,0,0.419717772
950,ab,1,0.575001591
951,ab,0,0.521792687
952,ab,1,0.864527688
953,ab,0,0.311343019
954,ab,0,0.905082978
955,ab,0,4.659767759
956,ab,0,0.888943875
957,ab,0,0.286606174
958,ab,0,1.00283439
959,ab,0,0.244331509
960,ab,0,0.286817126
961,ab,0,1.55437509
962,ab,0,1.297740368
963,ab,0,4.53557556
964,ab,0,5.370665081
965,ab,1,2.112825021
966,ab,0,0.657790741
967,ab,0,1.020645433
968,ab,0,1.071557186
969,ab,0,1.395089875
970,ab,0,0.696250176
971,ab,0,0.635035866
972,ab,0,0.140103544
973,ab,0,2.13551334
974,ab,0,0.330283136
975,ab,0,1.055297897
976,ab,1,0.52160498
977,ab,0,0.704498428
978,ab,0,0.342687202
979,ab,0,1.288250207
980,ab,0,0.480023243
981,ab,0,0.392912124
982,ab,0,0.577926442
983,ab,0,1.368863919
984,ab,0,0.670698718
985,ab,0,2.304705939
986,ab,0,0.418384664
987,ab,0,1.092066268
988,ab,0,0.355743621
989,ab,0,0.295453893
990,ab,0,0.138888758
991,ab,0,0.260960568
992,ab,1,1.077371026
993,ab,1,0.727091726
994,ab,0,0.551481285
995,ab,0,2.024242798
996,ab,0,0.404430856
997,ab,1,1.447676097
998,ab,0,0.390870434
999,ab,0,0.430234203
1000,ab,1,0.725788074
1001,ab,1,0.910472364
1002,ab,0,0.538325551
1003,ab,0,0.241810702
1004,ab,0,0.649523372
1005,ab,0,2.047618598
1006,ab,0,1.310953114
1007,ab,0,1.52730778
1008,ab,0,0.967739891
1009,ab,0,0.576164979
1010,ab,0,1.505953377
1011,ab,0,0.948994227
1012,ab,0,1.480853461
1013,ab,0,0.607665422
1014,ab,0,1.327309631
1015,ab,0,2.987002084
1016,ab,0,2.160577697
1017,ab,0,1.658588901
1018,ab,0,0.45947122
1019,ab,1,0.481735879
1020,ab,1,0.690955369
1021,ab,1,0.638215135
1022,ab,1,0.26177183
1023,ab,1,0.281917858
1024,ab,1,0.340074785
1025,ab,1,0.669157009
