geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-20.37569427753178 -3.962134311107502 0, -20.701906822454863 -3.4296229519343226 0, -20.701906822454863 -3.4296229519343226 0, -20.701906822454863 -3.429622951934321 0)",69,fracture,1,2,0.6245,,,-9999
"LINESTRING Z (-22.122630067509547 -1.110425612630899 0, -22.321133953557943 -0.7863866515121212 0, -22.321133953557943 -0.7863866515121212 0, -22.321133953557943 -0.7863866515121188 0)",70,fracture,1,2,0.38,,,-9999
"LINESTRING Z (-22.332601494289126 -0.767666967685808 0, -22.33876047992181 -0.7576130017625721 0)",71,fracture,1,2,0.0118,,,-9999
"LINESTRING Z (-22.33876047992181 -0.7576130017625721 0, -22.454887399439592 -0.5680467060715524 0, -22.454887399439592 -0.5680467060715524 0, -22.454887399439595 -0.568046706071548 0)",72,fracture,1,2,0.2223,,,-9999
"LINESTRING Z (-24.773081147226943 3.216186986572305 0, -24.773081147226943 3.2161869865723056 0, -24.773081147226943 3.2161869865723056 0, -24.85260374791945 3.346000167698548 0)",73,fracture,1,2,0.1522,,,-9999
"LINESTRING Z (-14.02598695600868 -12.97385212087727 0, -14.681190191046554 -11.90429434128006 0)",74,fracture,1,2,1.2543,,,-9999
"LINESTRING Z (-14.681190191046554 -11.90429434128006 0, -15.097534854850938 -11.224650758415237 0)",75,fracture,1,2,0.797,,,-9999
"LINESTRING Z (-15.33231541725986 -10.841393528300742 0, -15.33231541725986 -10.84139352830074 0, -15.33231541725986 -10.84139352830074 0, -16.049098907325124 -9.671311762691287 0)",76,fracture,1,2,1.3722,,,-9999
"LINESTRING Z (-16.049098907325124 -9.671311762691287 0, -16.072450049306866 -9.633193215294911 0, -16.072450049306866 -9.633193215294911 0, -16.998264936016966 -8.121887315698032 0)",77,fracture,0,2,1.817,,,-9999
"LINESTRING Z (-16.998264936016966 -8.121887315698032 0, -17.81182783575244 -6.793822248141645 0)",78,fracture,1,2,1.5574,,,-9999
"LINESTRING Z (-18.229658192173396 -6.111753411536958 0, -18.22971219802366 -6.111665252055744 0, -18.22971219802366 -6.111665252055744 0, -18.23027160726295 -6.110752068982361 0, -18.23209993430952 -6.107767496697403 0)",79,fracture,1,2,0.0047,,,-9999
"LINESTRING Z (-18.23209993430952 -6.107767496697403 0, -18.711283126741474 -5.3255459142777175 0)",80,fracture,1,2,0.9173,,,-9999
"LINESTRING Z (-19.40210610759651 -4.197842243133106 0, -19.48099156583638 -4.069069137254487 0)",81,fracture,1,2,0.151,,,-9999
"LINESTRING Z (-19.48099156583638 -4.069069137254487 0, -20.158811430228962 -2.9625918331784398 0, -20.158811430228962 -2.9625918331784398 0, -20.158811430228962 -2.9625918331784393 0)",82,fracture,1,2,1.2976,,,-9999
"LINESTRING Z (-21.036072816639248 -1.5305449652762662 0, -21.036072816639248 -1.5305449652762655 0, -21.036072816639248 -1.5305449652762655 0, -21.139936123294657 -1.36099786644126 0)",83,fracture,1,2,0.1988,,,-9999
"LINESTRING Z (-21.139936123294657 -1.36099786644126 0, -21.51082761670494 -0.7555523177170337 0)",84,fracture,0,2,0.71,,,-9999
"LINESTRING Z (-21.51082761670494 -0.7555523177170337 0, -21.513733290339736 -0.7508090782534986 0, -21.513733290339736 -0.7508090782534986 0, -21.743488264459714 -0.3757556492865706 0)",85,fracture,0,2,0.4454,,,-9999
"LINESTRING Z (-21.743488264459714 -0.3757556492865706 0, -22.291538647940122 0.5188851582009231 0, -22.291538647940122 0.5188851582009231 0, -22.291538647940122 0.5188851582009243 0)",86,fracture,1,2,1.0492,,,-9999
"LINESTRING Z (-23.945276973663255 3.218457744397021 0, -24.753684290358336 4.538106806576252 0)",87,fracture,1,2,1.5476,,,-9999
"LINESTRING Z (-24.753684290358336 4.538106806576252 0, -24.949869263003663 4.8583603592326945 0, -24.949869263003663 4.8583603592326945 0, -24.949869263003663 4.858360359232695 0)",88,fracture,1,2,0.3756,,,-9999
"LINESTRING Z (-14.07607855162175 -11.538498924831389 0, -14.233772803606206 -11.281077860666484 0)",89,fracture,1,2,0.3019,,,-9999
"LINESTRING Z (-14.959077287938237 -10.097086371752019 0, -15.903145698883927 -8.555983307234076 0)",90,fracture,1,2,1.8073,,,-9999
"LINESTRING Z (-15.903145698883927 -8.555983307234076 0, -16.406362127875017 -7.734529722046218 0)",91,fracture,0,2,0.9633,,,-9999
"LINESTRING Z (-16.406362127875017 -7.734529722046218 0, -17.60372986336403 -5.779939286519839 0)",92,fracture,0,2,2.2922,,,-9999
"LINESTRING Z (-17.60372986336403 -5.779939286519839 0, -18.44328664592628 -4.409441645202258 0)",93,fracture,1,2,1.6072,,,-9999
"LINESTRING Z (-18.66514496540977 -4.047278763698453 0, -19.626037606996828 -2.478711721889295 0)",94,fracture,1,2,1.8395,,,-9999
"LINESTRING Z (-19.626037606996828 -2.478711721889295 0, -19.860105497029988 -2.0966178625322023 0)",95,fracture,0,2,0.4481,,,-9999
"LINESTRING Z (-19.860105497029988 -2.0966178625322023 0, -20.711813409888535 -0.7062846415893876 0)",96,fracture,0,2,1.6305,,,-9999
"LINESTRING Z (-20.711813409888535 -0.7062846415893876 0, -20.892892938454725 -0.4106893084977122 0, -20.892892938454725 -0.4106893084977122 0, -20.892892938454725 -0.4106893084977121 0)",97,fracture,1,2,0.3467,,,-9999
"LINESTRING Z (-23.020430753522593 3.0623164701772847 0, -23.020430753522593 3.062316470177285 0, -23.020430753522593 3.062316470177285 0, -23.924206274428084 4.537645173855179 0)",98,fracture,1,2,1.7301,,,-9999
"LINESTRING Z (-23.924206274428084 4.537645173855179 0, -24.263231822020227 5.091072557174526 0)",99,fracture,0,2,0.649,,,-9999
"LINESTRING Z (-24.263231822020227 5.091072557174526 0, -24.4328581061618 5.367971543818413 0)",100,fracture,0,2,0.3247,,,-9999
"LINESTRING Z (-24.4328581061618 5.367971543818413 0, -24.818413361882005 5.9973543080782665 0, -24.818413361882005 5.9973543080782665 0, -24.818413361882005 5.997354308078267 0)",101,fracture,1,2,0.7381,,,-9999
"LINESTRING Z (-24.96050010968918 6.229297586694783 0, -25.005811162010307 6.303263626421366 0)",102,fracture,1,2,0.0867,,,-9999
"LINESTRING Z (-25.74581718151677 7.511253991527168 0, -25.873880880632445 7.720305959448613 0)",103,fracture,1,2,0.2452,,,-9999
