type;n_type;n_index;n_origin;geometry;og_line_id
node;3;971;[1 2];POINT Z (410110.1427019483 5081036.887471309 0);329
node;3;984;[2 1];POINT Z (410109.6433570311 5081038.2432047315 0);333
node;3;989;[2 1];POINT Z (410110.9085249775 5081038.432218988 0);336
node;3;1018;[1];POINT Z (410099.08191345976 5081041.071304483 0);344
node;3;1021;[1];POINT Z (410099.808925758 5081040.958598066 0);345
node;3;1024;[1];POINT Z (410101.0548282913 5081040.723912391 0);346
node;3;1036;[2 1];POINT Z (410103.4764210758 5081040.520326858 0);349
node;3;1046;[2 1];POINT Z (410101.8085063407 5081041.277481322 0);350
node;3;1047;[2 1];POINT Z (410101.7680535099 5081041.296432198 0);351
node;3;1052;[1 2];POINT Z (410101.20017765375 5081041.574928338 0);352
node;3;1053;[1 2];POINT Z (410101.8850187584 5081041.383969508 0);353
node;3;1069;[2 1];POINT Z (410104.0712265198 5081041.643980696 0);360
node;3;1075;[1];POINT Z (410104.893308204 5081041.300104145 0);361
node;3;1077;[2 1];POINT Z (410105.20626735967 5081041.158187978 0);362
node;3;1087;[2 1];POINT Z (410106.68419742165 5081040.7388042165 0);363
node;3;1090;[2 1];POINT Z (410106.9691792425 5081040.651525075 0);364
node;3;1099;[2 1];POINT Z (410107.1818783814 5081041.080568311 0);367
node;3;1101;[2 1];POINT Z (410107.2978704606 5081041.069616535 0);368
node;3;1102;[2 1];POINT Z (410107.3592024845 5081041.068886392 0);369
node;3;1104;[2 1];POINT Z (410107.47462992376 5081041.0300055705 0);370
node;3;1110;[1 2];POINT Z (410107.05119347555 5081040.773331394 0);374
node;3;1113;[1 2];POINT Z (410107.0849104382 5081040.9139706185 0);376
node;3;1124;[1 2];POINT Z (410104.8407580137 5081044.359479678 0);380
node;3;1130;[2 1];POINT Z (410105.41232383845 5081043.982480219 0);382
node;3;1135;[2 1];POINT Z (410106.2708432346 5081043.378953958 0);384
node;3;1138;[2 1];POINT Z (410106.477233584 5081043.227813451 0);385
node;3;1157;[1];POINT Z (410099.18308650446 5081041.00756268 0);393
