type,n_type,n_origin,geometry
node,1,1,POINT Z (440178.48774374934 3987784.079163373 0)
node,1,1,POINT Z (440173.79455519654 3987777.7050735396 0)
node,1,1,POINT Z (440178.1083879471 3987778.64859912 0)
node,1,1,POINT Z (440150.04461443896 3987770.2253780123 0)
node,1,1,POINT Z (440171.92648261786 3987770.3263573926 0)
node,1,1,POINT Z (440197.9211407536 3987769.1625425685 0)
node,1,1,POINT Z (440202.04698689096 3987769.5418986194 0)
node,1,1,POINT Z (440125.89897035254 3987747.5663270974 0)
node,1,1,POINT Z (440206.4689075574 3987797.0388802052 0)
node,1,1,POINT Z (440213.97952493874 3987796.3660953743 0)
node,1,1,POINT Z (440164.6095962487 3987800.288723011 0)
node,1,1,POINT Z (440167.7692299601 3987800.4295470575 0)
node,1,1,POINT Z (440160.2518180497 3987863.645147478 0)
node,1,1,POINT Z (440167.52258259145 3987863.9467730825 0)
node,1,1,POINT Z (440163.4744494939 3987858.1841365565 0)
node,1,1,POINT Z (440167.4114573682 3987859.962140115 0)
node,1,1,POINT Z (440165.01432757545 3987858.168261524 0)
node,1,1,POINT Z (440168.96721048007 3987859.882764954 0)
node,1,1,POINT Z (440136.4041910125 3987746.785246363 0)
node,1,1,POINT Z (440144.42108204775 3987749.1188760293 0)
node,1,1,POINT Z (440170.8730741944 3987758.22673453 0)
node,1,1,POINT Z (440182.06497158203 3987755.5015207417 0)
node,1,1,POINT Z (440201.52352771757 3987755.5004365765 0)
node,1,1,POINT Z (440174.1412304314 3987757.0613380843 0)
node,1,1,POINT Z (440164.78764535487 3987759.7877793163 0)
node,1,1,POINT Z (440163.76899748575 3987755.583100766 0)
node,1,1,POINT Z (440166.25608579256 3987755.9932057536 0)
node,1,1,POINT Z (440163.4382676556 3987755.0936206207 0)
node,1,1,POINT Z (440164.68181180954 3987755.305287713 0)
node,1,1,POINT Z (440162.7371204216 3987755.900601402 0)
node,1,1,POINT Z (440164.2055608575 3987756.1916436516 0)
node,1,1,POINT Z (440166.1105646668 3987754.4123171736 0)
node,1,1,POINT Z (440173.932504965 3987754.1946310066 0)
node,1,1,POINT Z (440171.2266938379 3987755.6975822207 0)
node,1,1,POINT Z (440178.4321028553 3987799.507461546 0)
node,1,1,POINT Z (440179.4168494642 3987796.7762432434 0)
node,1,1,POINT Z (440182.51081575174 3987796.748983627 0)
node,1,1,POINT Z (440140.9688800024 3987879.788643654 0)
node,1,1,POINT Z (440192.0282738013 3987884.741653565 0)
node,1,1,POINT Z (440178.8040758651 3987841.5526763517 0)
node,1,1,POINT Z (440191.49041904695 3987829.773457406 0)
node,1,1,POINT Z (440154.1311776489 3987829.1384561323 0)
node,1,1,POINT Z (440137.7152471425 3987782.4271214665 0)
node,1,1,POINT Z (440141.45324499253 3987782.826402383 0)
node,1,1,POINT Z (440138.38982695434 3987779.8230059333 0)
node,1,1,POINT Z (440145.803003693 3987781.1753990822 0)
node,1,1,POINT Z (440179.55541583063 3987775.9379615188 0)
node,1,1,POINT Z (440188.61476728506 3987776.8057965855 0)
node,1,1,POINT Z (440198.5948705832 3987767.9131329656 0)
node,1,1,POINT Z (440162.26618332695 3987765.3016902395 0)
node,1,1,POINT Z (440165.23481426574 3987765.1746899877 0)
node,1,1,POINT Z (440131.29895731993 3987753.404842226 0)
node,1,1,POINT Z (440162.72911825124 3987756.9701949623 0)
node,1,1,POINT Z (440166.4508607881 3987756.2702130843 0)
node,1,1,POINT Z (440168.00204721 3987756.7584010256 0)
node,1,1,POINT Z (440177.4337369213 3987753.292057131 0)
node,1,1,POINT Z (440182.97317178117 3987753.712244712 0)
node,1,1,POINT Z (440137.70936921705 3987741.00912636 0)
node,1,1,POINT Z (440146.5464702267 3987742.8479842003 0)
node,1,1,POINT Z (440133.13630064664 3987766.8407634306 0)
node,1,1,POINT Z (440207.0936482453 3987765.5031926357 0)
node,1,1,POINT Z (440144.96163500403 3987800.2793544685 0)
node,1,1,POINT Z (440214.1057406604 3987798.8546549217 0)
node,1,1,POINT Z (440146.91276011546 3987809.147845236 0)
node,1,1,POINT Z (440195.0078141998 3987812.0780035616 0)
node,1,1,POINT Z (440147.7060029483 3987832.953160127 0)
node,1,1,POINT Z (440204.4143642635 3987835.4273034637 0)
node,1,1,POINT Z (440150.1197438905 3987843.045679795 0)
node,1,1,POINT Z (440189.14075601526 3987845.002794702 0)
node,1,1,POINT Z (440150.39487703337 3987844.5829453166 0)
node,1,1,POINT Z (440205.02119063825 3987847.263239924 0)
node,1,1,POINT Z (440161.2885645101 3987852.8324602973 0)
node,1,1,POINT Z (440204.4098491256 3987854.676506001 0)
node,1,1,POINT Z (440148.1063266235 3987856.9822614025 0)
node,1,1,POINT Z (440199.75543402135 3987861.0178435845 0)
node,1,1,POINT Z (440137.6216845083 3987896.846000656 0)
node,1,1,POINT Z (440193.39462486765 3987900.1071566036 0)
node,1,1,POINT Z (440186.59659277956 3987801.8733487506 0)
node,1,1,POINT Z (440214.37813663745 3987804.2254090533 0)
node,1,1,POINT Z (440166.48393685586 3987872.9536764473 0)
node,1,1,POINT Z (440186.7993408796 3987874.7729663597 0)
node,1,1,POINT Z (440185.1596057265 3987891.816871509 0)
node,1,1,POINT Z (440187.3141727115 3987892.8758864333 0)
node,1,1,POINT Z (440161.4705355875 3987753.663599957 0)
node,1,1,POINT Z (440206.4785500375 3987756.451081641 0)
node,3,1,POINT Z (440166.1069293177 3987826.5087713255 0)
node,3,1,POINT Z (440172.3366192315 3987827.3809859334 0)
node,3,1,POINT Z (440174.3604748708 3987827.6820811336 0)
node,3,1,POINT Z (440172.1679790848 3987809.793030355 0)
node,3,1,POINT Z (440176.36409526784 3987810.7240989082 0)
node,3,1,POINT Z (440183.0063475603 3987811.3685838454 0)
node,3,1,POINT Z (440185.4351135046 3987867.4932126314 0)
node,3,1,POINT Z (440184.9059005426 3987866.6870916267 0)
node,3,1,POINT Z (440186.5201570373 3987768.3927799184 0)
node,3,1,POINT Z (440208.3973310748 3987771.5488173626 0)
node,3,1,POINT Z (440188.67756557226 3987891.1181859365 0)
node,3,1,POINT Z (440149.681705679 3987893.303452974 0)
node,3,1,POINT Z (440176.48672154284 3987903.737096115 0)
node,3,1,POINT Z (440175.14201143174 3987906.5803152085 0)
node,3,1,POINT Z (440184.7526504314 3987799.540639595 0)
node,3,1,POINT Z (440200.1721467107 3987813.8607038544 0)
node,3,1,POINT Z (440200.4858924989 3987808.070505774 0)
node,3,1,POINT Z (440157.981502511 3987754.828224761 0)
node,3,1,POINT Z (440152.53886919894 3987760.0575415306 0)
node,3,1,POINT Z (440153.09769130376 3987759.7167963395 0)
node,3,1,POINT Z (440158.2088690921 3987759.4714598036 0)
node,3,1,POINT Z (440186.340791639 3987892.430233084 0)
node,3,1,POINT Z (440153.92910955736 3987890.7673965553 0)
node,3,1,POINT Z (440188.40317840036 3987841.3198425523 0)
node,3,1,POINT Z (440171.1353330864 3987808.179004997 0)
node,3,1,POINT Z (440174.55078988423 3987756.9038152173 0)
node,3,1,POINT Z (440175.79433403816 3987756.2158971727 0)
node,3,1,POINT Z (440170.47619840136 3987757.141940692 0)
node,4,1,POINT Z (440160.9348305792 3987759.5941280713 0)
node,5,1,POINT Z (440196.580710144 3987862.3339433977 0)
node,5,1,POINT Z (440139.6846037454 3987888.2733580824 0)
node,5,1,POINT Z (440143.21640957816 3987907.8776894794 0)
node,5,1,POINT Z (440209.32326554327 3987814.4881105023 0)
node,5,1,POINT Z (440195.29931424174 3987888.1977088917 0)
node,5,1,POINT Z (440146.5795132343 3987875.954806727 0)
node,5,1,POINT Z (440199.7483690063 3987745.172767842 0)
node,5,1,POINT Z (440205.39694686513 3987842.6745665446 0)
